2026-05-11 20:54:33 | INFO     | engineer             | ======================================================================
2026-05-11 20:54:33 | INFO     | engineer             | DriftSentinel — Feature Engineer  [fit_transform on TRAIN]
2026-05-11 20:54:33 | INFO     | engineer             | ======================================================================
2026-05-11 20:54:33 | INFO     | engineer             | Input shape  : (63492, 42)
2026-05-11 20:54:33 | INFO     | engineer             | Existing FE_ columns: 0
2026-05-11 20:54:33 | INFO     | engineer             | --------------------------------------------------
2026-05-11 20:54:33 | INFO     | engineer             | Group A: Utilization Intensity
2026-05-11 20:54:33 | INFO     | engineer             |   FE_total_clinical_contacts : time + procedures + labs
2026-05-11 20:54:33 | INFO     | engineer             |   FE_labs_per_day            : num_lab_procedures / time_in_hospital
2026-05-11 20:54:33 | INFO     | engineer             |   FE_meds_per_day            : num_medications / time_in_hospital
2026-05-11 20:54:33 | INFO     | engineer             |   FE_procedure_density       : num_procedures / (num_lab_procedures + 1)
2026-05-11 20:54:33 | INFO     | engineer             |   FE_high_utilization threshold (Q75, train) = 62.00
2026-05-11 20:54:33 | INFO     | engineer             |   FE_high_utilization        : >= 62.00  n=16,716
2026-05-11 20:54:33 | INFO     | engineer             | --------------------------------------------------
2026-05-11 20:54:33 | INFO     | engineer             | Group B: Medication Complexity
2026-05-11 20:54:33 | INFO     | engineer             |   FE_n_active_ordinal_meds   : sum of 9 ordinal meds > 0
2026-05-11 20:54:33 | INFO     | engineer             |   FE_n_active_binary_meds    : sum of 7 binary meds
2026-05-11 20:54:33 | INFO     | engineer             |   FE_total_active_meds       : ordinal_active + binary_active
2026-05-11 20:54:33 | INFO     | engineer             |   FE_n_med_changes           : meds with Up or Down dose
2026-05-11 20:54:33 | INFO     | engineer             |   FE_n_med_increases         : meds with Up dose only
2026-05-11 20:54:33 | INFO     | engineer             |   FE_n_med_decreases         : meds with Down dose only
2026-05-11 20:54:33 | INFO     | engineer             |   FE_any_med_changed         : binary flag, at least one dose change
