2026-08-04 20:43:36 | INFO     | reproduce            | ===== RUN 20260804-204336-d9a223 | pid=30852 | started 2026-08-04 20:43:36 =====
2026-08-04 20:43:36 | INFO     | reproduce            | ==============================================================================
2026-08-04 20:43:36 | INFO     | reproduce            | DriftSentinel — rebuild the core artifact chain from raw data
2026-08-04 20:43:36 | INFO     | reproduce            | ==============================================================================
2026-08-04 20:43:36 | INFO     | reproduce            | Raw input: data/raw/diabetes_hospital/diabetic_data.csv
2026-08-04 20:43:36 | INFO     | reproduce            | > src/pipelines/pipeline.py
2026-08-04 20:43:36 | INFO     | reproduce            |     produces: splits, label encoders, FE stats, fitted selector, *_fs.parquet, production windows
2026-08-04 20:45:48 | INFO     | reproduce            |   OK    src/pipelines/pipeline.py  (131.94s)
2026-08-04 20:45:48 | INFO     | reproduce            | > src/models/trainer.py
2026-08-04 20:45:48 | INFO     | reproduce            |     produces: lgbm_v1.pkl, logreg_v1.pkl, logreg_scaler.pkl, training_summary.json
2026-08-04 20:46:57 | INFO     | reproduce            |   OK    src/models/trainer.py  (68.51s)
2026-08-04 20:46:57 | INFO     | reproduce            | > src/models/evaluator.py
2026-08-04 20:46:57 | INFO     | reproduce            |     produces: evaluation_report.json and the operating-point figures
2026-08-04 20:47:02 | INFO     | reproduce            |   FAIL  src/models/evaluator.py  (5.55s)
2026-08-04 20:47:02 | ERROR    | reproduce            |             | ------------------------------------------------------------
2026-08-04 20:47:01 | INFO     | evaluator            | AUC degradation  : -0.0186
2026-08-04 20:47:01 | INFO     | evaluator            | Drift severity   : MILD
2026-08-04 20:47:01 | INFO     | evaluator            | DriftSentinel    : This degradation is what we detect and alert on
C:\Users\sharg\Desktop\github\DriftSentinel\src\models\evaluator.py:303: UserWarning: set_ticklabels() should only be used with a fixed number of ticks, i.e. after set_ticks() or using a FixedLocator. Otherwise, ticks may be mislabeled.
  axes[1].set_xticklabels([m.upper() for m in metrics])
2026-08-04 20:47:02 | INFO     | evaluator            |   Saved: 23_degradation_logreg_v1.png
2026-08-04 20:47:02 | INFO     | evaluator            |   Saved: 24_model_comparison.png
2026-08-04 20:47:02 | INFO     | evaluator            | Evaluation report saved -> C:\Users\sharg\Desktop\github\DriftSentinel\outputs\models\evaluation_report.json
2026-08-04 20:47:02 | INFO     | evaluator            | ======================================================================
2026-08-04 20:47:02 | INFO     | evaluator            | Evaluation Summary
2026-08-04 20:47:02 | INFO     | evaluator            | ======================================================================
2026-08-04 20:47:02 | INFO     | evaluator            | LGBM:
2026-08-04 20:47:02 | INFO     | evaluator            |   Val  AUC : 0.6617
