2026-05-11 20:54:32 | INFO     | validator            | ======================================================================
2026-05-11 20:54:32 | INFO     | validator            | DriftSentinel — Data Validator
2026-05-11 20:54:32 | INFO     | validator            | ======================================================================
2026-05-11 20:54:32 | INFO     | validator            | --------------------------------------------------
2026-05-11 20:54:32 | INFO     | validator            | 1. Shape & Memory
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  row_count                                     101,766 rows (expected 101,766)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  column_count                                  50 columns (expected 50)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  memory_usage                                  48.51 MB
2026-05-11 20:54:32 | INFO     | validator            | --------------------------------------------------
2026-05-11 20:54:32 | INFO     | validator            | 2. Column Presence
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  required_columns_present                      missing=none
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  unexpected_columns                            extra=none
2026-05-11 20:54:32 | INFO     | validator            | --------------------------------------------------
2026-05-11 20:54:32 | INFO     | validator            | 3. Dtype Validation
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_encounter_id                            int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_patient_nbr                             int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_admission_type_id                       int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_discharge_disposition_id                int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_admission_source_id                     int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_time_in_hospital                        int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_num_lab_procedures                      int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_num_procedures                          int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_num_medications                         int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_number_outpatient                       int64 (OK)
2026-05-11 20:54:32 | INFO     | validator            |   [PASS]  dtype_number_emergency                        int64 (OK)
