2026-05-11 20:55:24 | INFO     | consistency          | ======================================================================
2026-05-11 20:55:24 | INFO     | consistency          | DriftSentinel — Feature Consistency Checker
2026-05-11 20:55:24 | INFO     | consistency          | ======================================================================
2026-05-11 20:55:24 | INFO     | consistency          | Train : (63492, 55)
2026-05-11 20:55:24 | INFO     | consistency          | Val   : (20949, 55)
2026-05-11 20:55:24 | INFO     | consistency          | Test  : (17325, 55)
2026-05-11 20:55:24 | INFO     | consistency          | --------------------------------------------------
2026-05-11 20:55:24 | INFO     | consistency          | Check 1: Schema Consistency
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  schema_missing_cols                      [val] missing=none
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  schema_extra_cols                        [val] extra=none
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_race                               [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_gender                             [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_age                                [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_admission_type_id                  [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_discharge_disposition_id           [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_admission_source_id                [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_time_in_hospital                   [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_payer_code                         [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_medical_specialty                  [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_num_medications                    [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_number_outpatient                  [val] train=float64 val=float64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_diag_1                             [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_diag_2                             [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_diag_3                             [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_number_diagnoses                   [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_repaglinide                        [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_glimepiride                        [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_glipizide                          [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_glyburide                          [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_pioglitazone                       [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_rosiglitazone                      [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_weight_missing                     [val] train=int64 val=int64
2026-05-11 20:55:24 | INFO     | consistency          |   [PASS]  dtype_max_glu_serum_missing              [val] train=int64 val=int64
